date,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,hosp_patients,icu_patients,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,mortality_rate,case_fatality_rate,vaccination_rate
2021-01-01,Asia,Italy,7404852,5845,203675,968,59884192,54774,0.264243937,415.1161824,88247219,18968516,22497724,28879,13173,1.376684802,71.4073306,1066894576,183.135948,26.43604335,24.73504023,4.757938736,47116.22181,46.41224906,581.8495981,17.5913325,0.027505613886678628,0.16561163387510694,0.017779184960445428
2022-04-21,Europe,Brazil,4981505,4778,229167,152,5507774,10386,0.909955063,317.5502687,15548509,28483123,62045437,28845,14627,1.765349398,81.52928706,344138879,513.2849818,49.13414136,15.79918864,11.27613795,11923.96415,25.08203697,217.0809891,11.76523054,0.04600356719505451,0.03181247383842612,0.08276636189077607
2022-09-16,North America,Italy,1766891,3906,381923,736,76087778,77228,0.915591986,452.5132987,4895344,54559303,25224548,10015,6078,1.473939577,99.91623003,881433439,464.9975875,29.21260793,24.25597998,16.40069952,55301.39038,25.09909888,663.1925301,6.088585519,0.21615538253350094,0.18842805939580134,0.061898381189053116
2020-10-21,Asia,USA,4521373,3637,305063,126,72347128,15225,0.328995775,348.9880237,78763398,31900158,40110207,82961,3323,2.394676091,27.33707233,1344878256,627.9061466,33.09844959,9.036014576,7.844113135,23107.00101,18.15814901,650.308933,18.92830008,0.0674713189997817,0.03464393731097058,0.023719736606404022
2020-05-07,Asia,Germany,6019877,2953,345665,192,86121049,16693,0.705434185,185.4773232,61375184,2087444,35179811,21496,8366,1.543761454,55.66185888,906800642,259.3661446,34.94351061,10.79869625,15.67820597,43770.42743,35.52059302,608.0744796,15.71191096,0.057420608427713724,0.0650186251269895,0.002301987783550775
2020-07-18,Europe,USA,3344769,5929,486121,626,50525451,72197,0.675745255,90.62914581,61494227,46212018,45620397,707,14444,0.919195766,13.40189415,935106993,222.4926891,49.7215623,18.9994022,16.15903657,8912.907942,19.61138341,183.3355355,7.88617663,0.14533768998696173,0.10558272895935233,0.04941896311965662
2022-01-09,Asia,Canada,9180351,276,476616,773,77158320,43021,0.806562632,462.3237393,74422453,54238735,51011292,17767,7105,1.835785098,33.08401051,1342321935,816.2016092,22.06674202,24.73643234,18.44071461,23177.99664,29.41610852,791.2812112,15.54341444,0.051916969187779424,2.800724637681159,0.0404066517768705
2020-09-03,North America,India,103355,1999,219222,529,44856075,18261,0.2965095,51.798575,92680458,23463086,19490452,26467,17747,1.596934656,4.496857122,256450043,705.1703225,40.90184883,21.50594822,5.538982643,45771.84322,22.36976719,759.8274224,12.32499351,2.1210584877364425,0.26463231615807903,0.09149183882180124
2020-04-11,Europe,Italy,1262752,1227,189518,9,19231255,27378,0.510138542,271.4942019,31035322,58601297,21343124,83222,9229,2.107658994,21.08385428,689158028,774.4843872,30.85792627,16.07410553,5.304086654,19920.22313,26.43724305,359.0640375,13.99254903,0.15008331010364664,0.007334963325183374,0.08503317761539593
2022-03-31,Europe,Russia,9784633,6337,183500,91,56292424,86755,0.667673951,157.0039626,10137559,53440589,30490203,7118,15028,0.853823195,50.65449768,435402720,132.0569136,22.34975957,6.703052287,5.075615944,61741.54158,41.35136496,504.1211191,7.107536962,0.01875389705469791,0.014360107306296355,0.12273829846538395
2021-10-04,North America,Brazil,5664789,3735,441110,138,40907614,11937,0.026256819,135.7075038,85201857,52230692,36060579,63884,7489,1.021879205,16.37591228,84799838,231.7992469,48.05094973,12.2875822,9.108280354,46624.75956,20.68665107,722.2208791,4.980413383,0.07786874321356012,0.036947791164658635,0.6159291483552126
2020-11-05,North America,USA,9695979,695,474365,480,46938182,66330,0.376738745,322.917426,98047161,62982543,280570,11213,16304,2.343258215,88.93833102,205589847,579.776201,37.69574957,6.728514012,11.32001529,61049.20914,11.5038903,446.2507934,5.818032368,0.04892388896469351,0.6906474820143885,0.3063504541642078
2020-08-09,South America,Japan,9305648,9501,268591,448,28463405,47366,0.695888358,115.6184687,84209500,37874900,49738956,97021,19395,2.360052226,71.03090114,979635778,858.6293334,42.60554023,11.22562724,10.84735904,28281.95846,28.51602127,519.414338,2.590954736,0.028863223711019372,0.04715293127039259,0.038662226156464446
2021-08-03,South America,Italy,5743066,4152,5499,332,89318449,72322,0.252595093,458.1825534,40796132,40707264,41091850,81037,2090,1.384513533,2.773600254,441103456,893.1934967,27.21156307,10.17584201,7.369828434,3344.974841,46.87544093,522.2700014,9.949714741,0.0009575024908298111,0.07996146435452794,0.09228507155473295
2021-06-21,South America,Japan,6113790,7901,39041,868,47040823,40160,0.957704107,203.0219545,14921354,59104827,66620503,8868,15461,0.595502364,87.67015557,584731677,833.5908626,42.84622768,12.77110593,13.57365363,40753.65747,34.66060104,554.4784774,8.718432365,0.006385728001779584,0.1098595114542463,0.10108025496966534
2021-06-04,North America,Brazil,4721339,7470,293459,339,39708715,45313,0.030161372,338.6876734,77487670,3644092,31463675,51716,10944,1.113110137,97.73209942,1024330273,52.96396662,44.8542632,21.7455318,8.750651722,24404.35169,15.41816219,502.8502514,1.048253775,0.06215588416760584,0.04538152610441767,0.003557536173686824
2020-08-19,Asia,Japan,9889550,7537,132371,960,90019549,27032,0.958087188,363.8778587,51255826,58994813,47417042,94869,148,0.994245309,50.18615698,255053682,822.6703928,32.92488192,8.007533426,9.223410797,31924.99794,48.14969159,384.1609561,17.27096667,0.013384936625023384,0.1273716332758392,0.23130351437153532
2021-07-28,Europe,Canada,3275709,2841,382650,51,81283965,91963,0.216763868,341.4708473,66675110,20502218,26481694,42523,5098,1.329353704,31.46106775,24981085,900.1002657,37.15869418,11.12127898,4.794011068,47996.60476,17.13584506,477.6355554,13.95551516,0.1168144056752294,0.01795142555438226,0.8207096689355166
2020-07-27,South America,USA,84654,4208,498221,706,24999095,17358,0.048822042,451.7001204,96615380,27991421,39929916,34028,14559,1.135601238,26.34644494,1297298402,66.18159925,49.15617605,10.22234489,13.0679327,49345.86203,49.16270119,710.0098773,9.488081885,5.885380489994566,0.16777566539923955,0.021576701980705902
2022-11-22,South America,Canada,5147581,8733,136066,465,49791835,61710,0.292474033,115.5654318,92946265,2906655,45322818,10545,1133,2.157984688,8.741949422,603350619,422.1180848,45.40188925,10.92283294,14.13976638,2901.392626,9.599486433,704.872342,19.37340328,0.026432998334557534,0.05324630711095844,0.004817522197652705
2022-12-11,North America,India,1954354,1088,226486,717,31475949,95326,0.786282307,43.02727234,69142485,32580085,38899612,357,16737,0.506072038,49.16093781,1223996576,541.2442201,33.34550183,12.2124695,15.88515375,54081.88443,49.98247672,640.7820228,18.87029059,0.11588790976455647,0.6590073529411765,0.026617790963493676
2022-02-17,Asia,USA,8242680,3363,212235,798,40760705,86157,0.752442006,27.73284863,82196746,14679442,48256962,21788,9299,1.789263707,5.01400221,200974998,240.4228692,39.93721576,9.886234999,18.36815662,35052.80513,3.795282495,389.8753248,2.80684164,0.02574830031009332,0.23728813559322035,0.07304113519632925
2020-10-04,Europe,France,2428388,24,257831,474,4529458,48821,0.208840416,438.9220752,33403195,61778743,22553934,16802,18497,1.82854045,50.38371913,8588889,521.5187995,43.5269443,23.85162544,16.02207575,39412.21536,35.66199409,650.1807863,12.68764553,0.10617372512135623,19.75,7.19286778534453
2020-06-13,Europe,France,8916786,9764,400705,400,33013055,28365,0.196790134,486.643525,43005603,77454596,21286726,54739,14956,1.821253151,25.25484407,401226423,887.0962301,20.72986462,13.40203428,7.007642325,21561.59878,37.0220793,371.499443,16.52342718,0.04493827708773094,0.04096681687832855,0.1930446041436309
2021-02-01,Asia,France,2663046,6144,353791,438,30901994,13189,0.642579916,151.2632706,3719931,20791682,38989934,85875,3206,1.541189361,47.64319556,880981256,868.2730813,37.6509796,7.282265304,7.006137711,30037.53123,33.97873435,564.8480882,4.286085168,0.13285200480953013,0.0712890625,0.023600595198134386
2022-04-24,Asia,Japan,5499720,5668,294499,877,88214299,76749,0.45808269,346.7569618,63452391,13235545,68297999,1593,1109,1.722208146,41.83841263,1261284295,940.4389084,49.5358584,14.3531722,18.55648232,50015.88424,38.88033838,497.1996976,3.431279376,0.053547998807212005,0.15472829922371206,0.010493704751948886
2020-08-08,Europe,Japan,6640913,4236,335949,604,12780593,7248,0.792289953,4.456392086,55864616,38602710,43853857,4602,10169,2.120988623,30.5114252,1276534692,489.2687004,48.41541949,8.688638037,16.43227068,54593.2524,23.59164708,310.0172669,5.935777801,0.050587773096861834,0.14258734655335223,0.03024023572717756
2022-07-20,Asia,Japan,3416664,9959,330511,931,15256164,4369,0.024132779,94.31575506,8053633,68949085,54873387,75113,11131,2.068393557,44.86382395,1338276768,416.4612758,44.97321184,9.32261285,16.29818932,27710.3265,2.705697329,417.0147949,6.313751762,0.09673500232975792,0.09348328145396124,0.05152079648146444
2022-07-03,Europe,USA,3385659,8068,372050,996,13980901,63763,0.610411861,344.6371912,13247416,36239687,12806268,95865,9204,0.569250754,47.40338892,802650702,669.1299408,23.18642279,10.70082835,15.23513222,48687.10975,17.88766464,681.2532315,19.33470763,0.10988998006001195,0.12345066931085771,0.045150009723656855
2022-04-25,Europe,India,3385357,2235,379553,921,84664230,8050,0.730672012,32.94356966,20093843,21663516,3157094,10943,3106,0.560873071,83.36917616,1381292912,422.5929718,49.82124358,7.495197121,7.542433851,18805.00162,32.11572486,738.9269657,15.82906928,0.11211609292609317,0.4120805369127517,0.015683506236655473
2021-04-24,Asia,USA,1465689,7295,339499,820,95593256,28605,0.993386112,234.255025,55080981,56162764,55170765,33012,3936,2.177889626,66.57833434,798383278,51.52515004,38.28614459,19.42237865,17.40597582,58409.5639,32.31235237,243.7068003,2.135020183,0.23163099402397097,0.11240575736806031,0.07034561663251669
2020-02-09,Asia,Canada,68148,8392,116220,656,16011986,49616,0.678781694,331.2916322,60494207,28386618,64646825,70108,10994,1.649459375,43.31565977,547021895,722.7222376,26.68724748,20.83892949,5.429039527,43077.18248,9.759691616,419.3503669,15.94314696,1.7054058813171333,0.07816968541468065,0.051893019748322874
2022-10-15,Europe,India,1825665,8448,221421,597,83804897,54479,0.231845157,382.9790857,68620390,20232216,13472637,16250,9658,2.414854671,90.52419376,1390747028,288.1741019,40.22806069,12.88569844,8.950299358,54487.86961,12.65026032,403.4538907,4.223150849,0.12128238203613478,0.07066761363636363,0.01454773268801837
2020-11-07,North America,Brazil,2745683,3747,349317,508,55805235,80934,0.108186195,226.9079569,58270595,38786965,53325557,82169,16340,1.363183194,75.57407765,533806271,58.59445914,45.69570686,18.77985079,8.890067179,33923.68481,24.33490689,442.310708,7.787597191,0.1272240823139452,0.13557512676808114,0.07266112653067727
2022-06-15,Europe,Russia,4056518,3175,264140,152,59492725,40883,0.640916775,315.1420197,78494428,25106925,49207123,44053,11180,0.853483643,7.571689711,294518216,30.41486576,23.36983283,12.7790858,12.52224641,16808.54066,36.43052614,783.6379673,7.051872543,0.0651149581981394,0.0478740157480315,0.0852474435740844
2020-03-02,Asia,UK,2669995,4897,251071,513,47915328,33055,0.523183068,269.7878148,90509421,30982496,45311901,39388,8461,1.446469825,15.37458293,754999347,932.0476559,47.4931443,8.281546473,10.87854045,30616.94682,42.63990515,463.1197592,6.175249863,0.09403425849112076,0.10475801511129262,0.04103645403550263
2020-10-18,Europe,Japan,4997895,5037,306531,502,69431855,68731,0.899145288,26.15288604,25759289,51509446,4300398,91707,9723,1.373088616,8.166788361,1193230925,259.5552486,47.60612844,12.94336123,10.81673826,27322.49222,4.324242402,681.0536817,6.866402621,0.061332020780748696,0.0996624975183641,0.043168044777250475
2021-05-01,Asia,Brazil,6397986,7427,3089,853,72572626,90987,0.726608021,371.4023436,61869527,63997206,32007790,71405,8495,1.534354763,31.88633598,924947098,453.4202006,20.40393219,16.13974791,12.41073133,23957.4415,46.28099578,564.7559518,15.32982904,0.0004828081837003082,0.11485121852699609,0.06919012572543906
2022-04-17,North America,UK,1870928,8605,360971,900,85563179,7450,0.50974245,86.18095794,68140096,15676494,35113623,71507,15344,2.115894468,43.56466208,746655699,951.0706884,47.00957365,5.819886282,10.06211373,15639.98859,46.38658313,175.0336312,6.064524022,0.19293687410739482,0.10459035444509006,0.0209956128654688
2020-12-13,Asia,Brazil,4155299,2014,282803,771,18868867,2925,0.403589471,15.90276562,56235479,56581473,35843959,49662,13097,1.811167976,50.42459228,172126264,472.841809,48.40453755,18.08968781,7.249714932,53382.53279,0.396687105,586.9597608,16.21375784,0.06805839964825636,0.3828202581926514,0.328720740723217
2021-11-04,Europe,France,6249859,1381,307322,675,45659566,80051,0.4043747,225.5839581,28552761,67516956,69215447,61311,15775,0.870550655,85.14121987,1128382679,87.82323029,21.13075391,19.85215938,14.2900522,6958.264631,25.32047878,552.9414153,2.729322738,0.049172629334517784,0.4887762490948588,0.059835158104194895
2020-07-09,South America,France,2305413,1098,95965,5,47429722,50272,0.226304286,432.8187936,64975517,19609231,25985626,79493,18316,1.968954513,1.795628578,329969803,556.4166868,28.82498971,22.19940515,16.44076744,62241.70416,29.3572132,630.9282263,12.30822832,0.04162594728146323,0.004553734061930784,0.059427350083910556
2022-04-06,Asia,Germany,3910197,3426,81268,499,93050144,5310,0.017325972,75.41471883,49077323,36358620,1705873,71504,18424,1.683792427,42.82884057,305672610,97.31666692,31.1932252,7.055411205,11.14292994,13076.70588,27.68567146,152.1139651,17.39701658,0.02078360757782792,0.14565090484530063,0.11894628046654229
2020-06-22,Europe,Canada,5558019,3655,347186,660,42837195,31817,0.574910588,6.428767058,81980434,12601174,30367673,86789,7934,1.656621461,41.09983737,1367275230,104.1369996,30.46671416,5.001871877,14.04121417,68611.28198,30.78858288,268.915292,2.506646219,0.062465781423201326,0.18057455540355677,0.009216267305595816
2021-05-30,Asia,India,5414709,7938,368615,716,7124801,92944,0.212414733,54.98961788,3463357,8019446,19816473,91477,5775,1.856513765,94.74759367,856023354,852.9623031,42.77009712,6.46532738,12.10117579,69204.29532,25.16756409,638.5020828,13.06286687,0.06807660393199338,0.09019904257999496,0.009368256090826232
2020-08-17,Asia,Italy,271836,9101,201798,117,87668956,44528,0.208326918,181.8295572,41878265,28203531,69048988,56657,9000,1.627930917,24.10369176,539654429,296.5273279,30.74313378,23.48233608,4.002939455,28488.70585,14.69034569,359.431181,10.72071828,0.7423520063567739,0.012855730139545106,0.052262206116351545
2022-07-07,North America,UK,3584702,187,332255,484,1898465,55779,0.125381229,290.085935,76155239,44461793,7041607,73183,17331,1.415027473,12.24058119,930739455,681.8834981,48.6973643,20.31111442,10.19243925,69159.65401,4.785219308,737.5732698,7.306881558,0.09268692348764276,2.588235294117647,0.04777039671107528
2021-02-14,Europe,Italy,7281369,5409,237103,600,22476701,84816,0.18959549,96.50606699,96107370,38832899,63321248,25499,10484,1.780760566,14.22602122,116580276,513.835092,49.84977876,21.70871294,3.167492492,60965.72769,10.41897053,462.3692863,2.912816217,0.03256296995798455,0.11092623405435385,0.33310007775243217
2020-03-28,Europe,Canada,2299435,2092,244754,665,21443986,82641,0.03178915,400.9820025,23659381,32634451,65438075,31785,17149,1.947454139,52.01427239,1199233616,230.1034243,29.50456612,15.34027594,14.25194773,6687.689109,37.01275569,100.7189935,13.85322063,0.10644093005455688,0.3178776290630975,0.027212755350246955
2022-11-12,Europe,USA,8585377,2130,165637,950,77569041,84083,0.67423145,376.6485603,88833475,14210907,60085630,81993,11115,0.951533886,39.09038035,944001477,522.6420957,35.2640226,15.53439749,11.63874499,66365.67089,12.05317593,589.185174,6.878181322,0.019292920974815667,0.4460093896713615,0.01505390335316181
2020-04-28,Europe,USA,2658505,5242,362579,678,30549432,76310,0.401397116,347.9318083,58185806,28732421,30625443,74536,7172,1.494099788,75.41420284,1281600558,78.30360054,36.73117521,10.9701118,5.156136098,3933.492627,41.48551678,459.4247799,7.439461676,0.13638454695402116,0.12933994658527279,0.02241917017018028
2021-04-18,Europe,Canada,1271741,8549,89242,467,60037717,15457,0.561524599,243.7349042,32803411,47685517,33166412,52030,2496,1.416344927,32.31823722,183740433,353.7402261,37.3820849,21.85506104,12.21725605,13552.08627,20.17441835,321.9660491,14.63426197,0.07017309342075155,0.05462627207860569,0.25952653001530696
2021-04-09,Europe,India,3769315,5647,375348,160,8537341,42311,0.636957618,182.6084776,21189622,62041846,65726672,37909,19946,0.579806541,12.7961752,342137851,527.6078628,31.22626983,21.59539166,18.27324205,41337.09232,20.72379274,114.3084889,18.96171771,0.09957989714311487,0.028333628475296618,0.18133581484382447
2020-03-08,North America,Brazil,1046797,5185,153956,269,79527723,3980,0.972484562,187.7933105,97617340,65763502,33542168,34894,17646,2.168877313,38.68757897,908540194,236.1103947,24.97980506,12.84342691,8.788343001,6570.86531,43.42493706,239.1223627,7.339111445,0.1470734058274909,0.05188042430086789,0.07238370127629158
2021-05-11,Asia,France,3047262,5776,279343,55,92570665,20886,0.068265866,251.5352675,43178132,14872128,15835681,84124,6393,1.254764048,88.30356173,928248346,663.5862489,21.63681625,11.58534141,19.70026903,12159.21523,10.71444141,213.1157428,15.1879284,0.09167016160737082,0.009522160664819944,0.016021712361876914
2020-09-03,Europe,USA,9973006,7913,60038,227,53056654,77112,0.417917685,38.65734344,50026013,38237330,2190372,72006,5410,0.645378466,40.55265534,1007564432,61.29380248,23.19045997,19.76746543,19.30945841,66790.93331,9.480961835,507.9979011,19.17557152,0.006020050524385526,0.02868697080753191,0.03795025785507283
2022-04-04,Asia,Brazil,564685,7547,57786,848,1120816,50877,0.245897934,341.1527314,45998871,41866808,19434346,15473,542,1.415798194,83.36277225,224771402,489.9617989,47.03873713,5.523362767,16.35026732,69633.46406,49.27032028,638.6878144,2.858712055,0.1023331591949494,0.11236252815688352,0.18626394473439287
2022-01-02,Asia,Japan,2879190,7823,371780,148,61449594,97427,0.476711932,175.753772,54745007,23165964,21591168,81697,10871,0.822961612,37.15300859,1090657065,717.8458235,28.4112502,22.19897797,16.83459962,56071.42138,27.03022201,264.2244918,11.05483704,0.12912659463251816,0.01891857343730027,0.021240374030860012
2020-10-08,Europe,Canada,5596411,7355,236042,45,66401143,36181,0.920472301,112.379389,91075638,3786997,43835502,20063,13390,1.908828829,28.13856239,81366753,435.6465984,22.3046895,13.92495979,9.979271123,36549.44801,9.526035203,588.406194,1.212122366,0.04217738832977063,0.006118286879673691,0.04654231440205068
2020-09-27,Europe,Japan,9700344,6465,311438,143,5169949,33262,0.723984265,139.1635352,26895998,46802774,18619183,78444,11146,1.64354315,77.48627299,356301550,875.8405512,38.70589099,13.82688493,9.84319862,63120.76456,8.290241502,729.876981,16.67838259,0.03210587170929196,0.022119102861562257,0.13135720010199226
2022-02-19,Europe,USA,1007293,1497,209087,749,54303831,947,0.661949586,90.14714264,47882983,29614873,68986587,11850,15809,1.040227614,20.92345277,670181599,635.8708534,22.25921454,18.38155695,19.22475509,8721.015191,43.08324847,535.1102149,6.450923326,0.2075731688793628,0.5003340013360054,0.04418932576511997
2022-01-28,North America,USA,4774183,2555,165250,783,37527801,22,0.441245876,450.7840428,60501413,38158568,19821251,984,19165,2.400947718,23.18307062,1111889144,958.9079869,22.10158819,17.91498721,9.225336242,66059.53898,29.99229836,642.9533382,7.322582381,0.03461325215225307,0.3064579256360078,0.03431868024426003
2020-05-31,Europe,Brazil,3366612,5409,405881,631,88437118,1128,0.671112498,84.51875818,94122434,5863077,54941842,50450,12431,1.083490697,4.981283808,1182631661,291.2805946,38.64711518,10.31948132,4.646839114,25257.15199,5.751912714,242.9620539,14.05845183,0.12056067049009508,0.1166574228138288,0.004957652660036471
2020-11-18,Asia,India,8411855,2951,262678,339,16773468,79522,0.032375377,441.4630594,82814044,26735937,13139452,56700,15479,1.609993814,18.78457113,952470317,939.4014375,37.74185733,23.86557209,5.595918499,60442.768,44.34540443,152.4569654,15.99441647,0.03122711934525738,0.11487631311419857,0.02807009995252167
2021-11-18,Europe,Japan,5267180,1238,353972,412,98391612,32322,0.586238672,286.121698,31210908,40619545,1638533,72723,11183,2.103135649,37.88153936,174358242,610.754364,21.24431861,24.72659959,15.07678241,47117.76501,22.19525028,355.7714609,8.599814773,0.06720332322039498,0.33279483037156704,0.23296601602578673
2020-08-19,Asia,Japan,7807313,9165,298276,731,69580814,48929,0.553776563,433.7254777,23013769,31557757,5380559,93392,18996,1.527784596,39.95726987,261531163,747.7271102,33.81433503,15.51978029,9.510675897,67258.92698,49.46786361,596.3048474,13.64488128,0.038204693471364605,0.07975995635570103,0.12066537936819408
2020-04-15,Europe,Russia,2704238,4727,377864,519,8790784,81696,0.346640432,237.0321085,54418372,74550584,7940959,20339,17583,2.421711352,42.06280869,1162933813,903.1395059,33.07304924,16.22761596,6.388828275,60662.7784,14.08801638,580.2690125,19.17073382,0.13973030480305357,0.10979479585360694,0.06410561217382024
2021-09-04,Asia,Canada,2630708,3965,298254,343,1044423,9808,0.201514125,463.8168597,84919626,68940286,29140957,38481,10309,2.187709134,47.96929462,1120203221,555.6852161,36.40067389,16.08635927,16.83436419,62264.94914,26.44086157,768.5554688,17.85114361,0.11337404227303068,0.08650693568726356,0.06154266003489736
2022-09-18,Europe,Italy,3494679,5686,189826,386,60574085,95148,0.807555551,105.7453718,73124272,55309795,19821730,64351,16173,2.342038028,57.19106158,546572077,863.558984,42.13534131,14.71574816,11.30744934,44591.05057,8.655014037,540.9848938,14.32458807,0.05431857976083068,0.06788603587759409,0.10119396384751649
2020-12-20,South America,Italy,5517209,9242,325724,472,8316308,52882,0.053862114,277.3458764,24095673,52036381,63538212,52839,10872,1.245405168,18.94290246,1336342697,546.2799702,28.48400143,23.90374107,12.64990048,58487.93864,21.98529893,387.8991227,18.9182139,0.0590378214782148,0.05107119671066869,0.038939398641395055
2021-06-16,Europe,Germany,1767640,3701,415685,274,52850274,21725,0.069672864,62.91934526,5356465,78052230,43706827,64236,7032,1.596710835,61.39441831,841036981,603.2069383,32.98340851,9.89504898,5.617139029,53242.0494,8.82687745,657.9919987,17.64282292,0.23516383426489557,0.07403404485274251,0.09280475384946242
2021-08-15,Europe,Brazil,6723771,2780,326160,352,4610635,72534,0.440521744,223.6101426,62118653,78368356,11853016,79619,4688,2.180332591,33.65545875,1126115111,450.6475872,43.78228053,7.159163525,6.276821424,12151.99603,15.36155433,207.1475381,14.85117239,0.048508493225007214,0.12661870503597122,0.069591780835272
2020-08-20,Europe,France,1285160,7398,46233,65,63820058,39950,0.252554547,284.9518483,97423351,54538621,30242519,48287,12854,2.307000069,73.40107351,139912331,154.1821663,47.67669171,23.59094569,5.139552629,45753.1855,13.49328689,669.1156368,18.42770742,0.035974509010551214,0.008786158421194918,0.3898056776711125
2020-02-21,North America,Russia,6080526,1588,496020,78,86686025,88954,0.745452414,302.8376111,5118036,61733079,58345610,60306,4786,2.388727156,55.72044502,10806617,557.968201,46.73968919,9.260766284,11.74722759,11224.11271,14.15469661,356.151326,16.53041882,0.08157517951571953,0.0491183879093199,5.712525853372984
2021-05-05,Europe,France,5173036,2368,392007,597,19881139,83576,0.634190077,182.7643985,78842639,42289693,17468514,52197,3681,2.258303987,55.42686268,159560076,977.673748,34.32892856,19.98310707,16.1861692,60992.47241,48.49131557,207.8070063,10.54282787,0.07577890430300505,0.2521114864864865,0.2650393134683641
2020-08-15,Asia,UK,1425472,5789,197780,635,63659241,20557,0.772534796,38.16782108,65162829,19026525,69059155,25435,19879,1.961509808,68.54869886,761019863,789.3141358,35.62597391,9.077466185,15.44884915,5550.536154,1.922324289,213.4984368,10.54335616,0.13874702554662596,0.10969079288305407,0.025001351377342433
2022-04-26,Europe,France,48984,436,451448,201,9255404,21825,0.324678956,327.6630357,54740692,79354126,53460191,67621,8856,0.548429611,33.3018991,1255339819,750.0234999,35.87316326,24.20372031,7.440923949,69106.22024,24.84307627,788.5182467,1.167025018,9.216233872284828,0.4610091743119266,0.06321326289419646
2021-07-21,South America,USA,6556168,2828,224522,977,28120485,8998,0.74051894,244.2159302,48442159,67093527,59692729,30837,6078,1.129906899,42.92329406,544456578,646.8757147,46.06146709,20.82243541,17.47635319,28643.23996,31.46229021,536.2559338,1.574744947,0.034245919262593634,0.3454738330975955,0.1232302624507918
